avg,lower,upper
0.365277621,0.195178966,0.534418064
0.488002111,0.300991518,0.659849846
0.604748329,0.432913586,0.768148168
0.594903876,0.443250842,0.740751187
0.513584012,0.372162709,0.652797107
0.46268034,0.324259493,0.58692961
0.510281129,0.375589636,0.639583147
0.55395345,0.385301026,0.719841061
0.206918286,0.02907914,0.379457829
0.107240653,-0.066483901,0.280200833
-0.118515068,-0.305748996,0.058667132
-0.422635931,-0.614715236,-0.238968215
-0.298895535,-0.475803973,-0.121517354
-0.219415274,-0.401357753,-0.032604824
0.014780187,-0.14724822,0.178959944
0.282587724,0.136617348,0.430348142
0.354775401,0.220333874,0.478838767
0.297714613,0.172290337,0.418299737
0.462439874,0.325704942,0.59700534
0.305763608,0.158045619,0.45126118
0.528146504,0.362929246,0.690056295
0.647351094,0.466889992,0.82814799
0.320071903,0.137239843,0.496634668
0.1853732,0.013393288,0.35799726
0.172210278,-0.006006447,0.349318791
0.127893245,-0.040308677,0.287688539
0.111275873,-0.042418423,0.257571386
0.126605679,-0.012758525,0.26164811
0.145736902,0.020637667,0.267462388
0.155922288,0.034521737,0.278557831
0.258706976,0.123753898,0.388441304
0.265119562,0.116464788,0.416033123
0.160358717,0.014769834,0.303596089
-0.143102798,-0.29538216,0.015024069
-0.089554762,-0.24637874,0.074121226
-0.217055835,-0.397986354,-0.026285349
-0.630679666,-0.814864866,-0.451746923
-0.538455584,-0.718345133,-0.35606838
-0.231787633,-0.397485567,-0.068239175
-0.058141681,-0.209761043,0.093774918
0.037073985,-0.102407716,0.173872802
0.179752331,0.048677615,0.314924425
0.412409742,0.276061548,0.554521514
0.459391566,0.310440311,0.603916993
0.422019232,0.276435525,0.574350523
0.15354927,-0.005707326,0.305636856
-0.237659032,-0.411962573,-0.064336366
-0.621622519,-0.797686816,-0.449510203
-0.8002084,-0.981012339,-0.625868175
-1.030263332,-1.212175165,-0.849397002
-0.755291787,-0.933935256,-0.577608176
-0.691140081,-0.856174883,-0.518662665
-0.515550915,-0.671571054,-0.359719307
-0.326375428,-0.477328455,-0.179116928
-0.175965905,-0.322524012,-0.027826587
0.098894024,-0.044902134,0.243596874
-0.098257775,-0.251919381,0.052312584
-0.04390458,-0.189039394,0.097745133
0.169311167,0.008444735,0.342940446
0.110449637,-0.064765015,0.298011478
0.16879331,-0.007614697,0.354343605
0.072048761,-0.101062791,0.237126667
0.058760021,-0.105831018,0.206377781
0.042838368,-0.104027827,0.182866503
0.013856048,-0.119834248,0.142970243
0.125829926,-0.000761457,0.258540722
0.169574004,0.033255811,0.308269925
0.177621254,0.03542658,0.329258994
0.309960917,0.161350887,0.464126204
0.037807353,-0.123027811,0.211160945
-0.166800984,-0.341816611,0.007674309
-0.039002246,-0.236334932,0.151827097
-0.112560219,-0.30506249,0.081611096
-0.248471298,-0.42389087,-0.062328703
-0.060423193,-0.215808457,0.09353034
-0.071444484,-0.221917407,0.074962297
0.078004836,-0.059977896,0.224853474
0.077928424,-0.06042873,0.213281943
0.079197477,-0.070747286,0.217882536
0.103264036,-0.05255864,0.245081441
0.009282197,-0.140717752,0.157087531
0.167865582,0.006468055,0.324214158
0.529973529,0.356504503,0.710231952
0.128039974,-0.047522961,0.3042334
0.126737463,-0.060562596,0.310517494
-0.097525189,-0.254000421,0.062944667
-0.365358947,-0.505580908,-0.22743672
-0.282527258,-0.413013915,-0.148725363
-0.142153573,-0.271066292,-0.011886573
-0.087443103,-0.215941036,0.036990847
-0.062383458,-0.189426131,0.060097446
0.185991533,0.048242553,0.321630103
0.278708685,0.124218606,0.424461138
-0.090489046,-0.258909131,0.072936669
-0.248009416,-0.444115623,-0.058005011
-0.019949015,-0.2099367,0.186038117
-0.192741686,-0.369957336,-0.009378483
-0.240195823,-0.412067531,-0.064631179
-0.397497588,-0.554750084,-0.231926157
-0.273178063,-0.428642505,-0.121180929
-0.246135859,-0.394731576,-0.104923124
-0.189156391,-0.332394423,-0.046302167
-0.130082866,-0.264613794,0.003149854
0.040720282,-0.091731323,0.169277341
0.156495618,0.003561068,0.314090005
0.282222639,0.114214715,0.45049863
0.158361158,-0.026175032,0.338659674
-0.013575987,-0.200432691,0.177998542
-0.242233424,-0.418352989,-0.048703393
-0.430393513,-0.606858334,-0.245316555
-0.371505734,-0.532110253,-0.206001096
-0.352435203,-0.507531774,-0.200568482
-0.324417532,-0.460627912,-0.185539379
-0.258276237,-0.385419196,-0.125065392
-0.353528376,-0.483067884,-0.222824731
-0.24702646,-0.395016355,-0.101107738
-0.220441096,-0.378559764,-0.055451244
-0.186040036,-0.37227755,-0.002570882
0.344903892,0.16086148,0.531250265
0.724436179,0.523638924,0.93012204
